SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,AvgCharges,Churn
0,1,1,1,0,0,0,2,0,0,0,0,1,0,3,47.57,0
0,1,1,1,2,0,2,2,0,0,2,0,2,1,1,69.605,0
0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,24.602941176470587,0
0,0,0,1,2,0,2,2,2,2,2,0,2,1,1,77.16587301587302,0
0,1,0,1,2,0,2,2,0,2,2,0,0,1,2,75.49615384615385,0
0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,79.72857142857143,0
0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,48.5,0
0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,72.075,1
0,0,0,1,2,0,2,0,0,2,2,2,2,1,1,81.11153846153846,0
0,1,1,1,2,0,2,0,2,2,0,0,2,1,1,61.6536231884058,0
1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,89.27325581395348,0
0,0,0,1,0,1,2,2,0,0,2,2,0,1,1,95.09333333333333,1
1,1,0,1,2,0,2,0,0,2,2,0,0,1,1,70.10600000000001,0
1,1,0,1,2,1,0,2,0,0,0,0,0,1,1,79.1625,1
1,1,1,1,0,0,2,2,2,2,0,2,1,1,1,74.27250000000001,0
1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,97.36388888888888,1
0,1,1,1,2,1,2,0,0,0,2,2,1,1,1,100.17777777777778,0
1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,107.21742424242424,0
0,1,1,1,2,2,1,1,1,1,1,1,2,0,1,26.302941176470586,0
0,0,0,1,2,1,0,0,2,2,2,2,2,1,1,109.07916666666667,0
0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,100.15106382978725,0
0,0,0,1,2,1,0,2,0,0,2,0,0,1,0,90.845,0
0,1,0,0,1,0,2,2,2,0,0,0,2,0,0,41.138888888888886,0
0,1,1,1,0,0,0,0,2,2,0,0,1,1,1,53.172222222222224,0
0,0,0,1,2,1,0,0,0,0,2,2,0,0,2,95.25,1
0,0,0,1,0,0,0,2,0,2,2,2,0,1,2,81.36666666666666,0
0,1,0,1,2,1,0,2,0,0,0,0,1,1,2,77.66702127659575,0
0,0,0,1,0,0,0,2,2,2,2,2,2,0,3,80.55483870967741,0
0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,18.618,0
0,0,0,1,0,1,2,0,2,0,0,0,0,1,3,88.735,0
0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,49.05,0
0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.974038461538463,0
1,1,1,1,2,1,2,0,2,2,2,2,2,1,0,110.921875,0
0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,22.97741935483871,0
0,0,1,1,0,0,2,0,0,2,0,2,0,1,0,59.13333333333333,0
1,0,0,1,2,1,2,2,2,0,2,2,1,0,2,109.63392857142857,0
0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,58.45326086956521,0
0,1,1,1,0,0,2,2,0,0,0,0,0,0,3,60.28125,0
1,0,0,1,0,0,2,2,0,0,2,2,0,1,2,70.37666666666668,0
0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,27.035555555555554,0
0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,1
0,1,1,0,1,0,2,0,0,0,2,2,0,0,2,51.39545454545455,0
0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,70.98571428571428,1
0,0,0,1,0,1,0,2,2,2,2,2,0,1,0,103.03571428571429,0
0,1,0,1,0,2,1,1,1,1,1,1,2,1,0,19.864285714285714,0
0,0,0,1,2,1,0,2,0,0,2,2,0,1,1,102.08333333333333,0
0,1,0,1,0,0,2,0,0,0,2,0,1,1,0,63.29857142857142,0
0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,22.020833333333332,0
0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,20.15434782608696,0
0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,34.80172413793103,0
0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,85.67333333333333,0
1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,74.7,0
0,1,1,1,2,0,2,0,2,2,2,2,2,1,3,86.57954545454545,0
0,0,0,1,2,1,2,2,2,0,2,2,0,1,1,109.33846153846154,0
0,0,0,1,2,1,0,2,2,0,2,2,2,1,0,103.59791666666666,0
0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,77.27916666666667,1
0,1,1,1,2,0,2,2,0,2,0,0,1,1,1,66.8830985915493,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,22.77,1
0,0,0,1,0,2,1,1,1,1,1,1,2,0,0,21.292307692307695,0
1,1,0,1,0,1,0,2,2,0,2,2,0,1,2,100.58,1
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.2,0
0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,0
0,0,0,1,2,1,0,0,2,2,2,0,1,0,0,94.88421052631578,0
1,1,0,0,1,0,0,2,2,0,2,0,1,0,0,45.86742424242424,0
0,1,0,1,2,1,0,2,2,2,2,2,2,1,0,111.93897058823529,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,20.04,0
0,1,1,1,2,1,2,2,0,0,2,2,1,1,2,101.43125,0
0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,28.9890625,0
0,0,0,1,2,1,0,0,0,0,2,2,1,0,3,91.19302325581396,0
0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,18.93402777777778,0
0,1,0,1,2,1,2,2,0,0,2,0,0,1,2,95.25272727272727,1
0,0,0,1,0,0,2,0,2,2,0,0,1,0,1,58.50480769230769,0
0,0,0,1,0,1,0,2,2,0,2,0,0,1,2,91.95581395348837,0
1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,77.51756756756757,1
0,1,1,0,1,0,0,2,0,2,2,2,2,1,2,53.4921875,0
0,1,1,1,0,1,2,2,0,0,2,0,0,0,2,82.8,0
0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,31.287499999999998,0
0,1,1,1,2,1,2,0,0,0,2,2,0,1,2,106.465,1
0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,20.36951219512195,0
0,1,1,1,2,1,0,2,0,2,0,0,0,1,1,79.68888888888888,0
0,1,1,1,2,1,0,0,2,0,2,2,1,1,1,98.49017857142857,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,18.791666666666668,0
0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,76.51666666666667,1
0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,50.050000000000004,0
0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,15.725,0
0,0,0,1,0,1,2,0,0,2,2,0,2,1,2,91.7469696969697,0
1,0,0,1,2,1,0,0,2,0,0,0,0,1,2,79.0925925925926,1
0,1,0,1,2,2,1,1,1,1,1,1,2,1,0,23.94375,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,19.75,0
1,0,0,0,1,0,2,2,0,0,2,2,1,1,2,56.131690140845066,0
0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,93.51153846153846,0
0,1,1,0,1,0,2,2,2,0,2,2,0,1,1,60.106,1
0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,48.65820895522388,0
0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,35.45,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,40.625,1
0,0,0,1,2,2,1,1,1,1,1,1,2,1,1,27.632558139534886,0
0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,77.32608695652173,0
0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,19.96484375,0
0,0,1,1,0,2,1,1,1,1,1,1,2,1,3,20.5359649122807,0
1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,70.45,1
1,1,1,1,2,0,2,2,2,2,2,2,2,1,1,89.24513888888889,0
0,0,0,1,2,0,2,0,0,2,0,2,0,0,2,70.45625,1
0,1,0,1,2,1,0,2,0,0,2,2,2,1,0,97.88934426229508,0
0,0,0,1,2,1,2,2,0,0,0,0,1,1,1,82.64140625,0
1,1,0,1,2,2,1,1,1,1,1,1,2,0,0,24.735211267605635,0
0,1,1,1,2,1,2,2,0,2,2,0,2,1,1,98.71846153846154,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,20.45,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,45.65,1
0,0,1,1,0,0,0,2,2,0,2,0,1,0,1,64.33166666666666,0
0,1,1,1,0,0,0,2,2,2,0,2,0,1,3,71.42666666666668,0
0,1,1,1,0,0,0,0,0,2,2,2,0,1,2,70.54375,0
0,0,0,1,2,1,0,0,0,0,2,2,0,0,3,93.64285714285714,1
0,1,1,1,2,1,2,2,2,0,2,2,1,1,1,113.29357142857143,0
0,1,1,1,0,0,2,2,2,2,2,2,2,0,2,84.11693548387096,0
0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,18.916666666666668,0
0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,82.34285714285714,0
0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,82.81590909090909,0
0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,19.086363636363636,0
0,1,1,1,0,0,2,0,2,0,2,0,2,0,3,64.0,0
0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,25.16,0
0,0,1,1,0,0,2,2,0,0,0,0,0,1,2,58.81153846153846,0
0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,79.61749999999999,1
0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,67.6,0
0,0,0,1,2,0,0,2,2,2,0,2,2,1,0,74.68396226415095,0
0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,21.263636363636365,0
0,1,0,1,0,2,1,1,1,1,1,1,2,0,3,19.76014492753623,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,68.25,1
0,1,0,1,2,0,2,2,2,2,2,2,2,1,0,86.86736111111111,0
1,1,0,0,1,0,0,2,2,0,0,2,0,1,2,45.710344827586205,1
0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,20.0875,0
0,1,0,1,0,1,2,0,2,2,0,0,1,1,0,82.30813953488372,0
0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,121.4,1
0,1,0,1,0,0,0,2,2,2,2,2,2,0,3,84.41071428571429,0
0,1,0,1,0,1,0,0,2,0,2,2,1,1,0,94.3433962264151,1
0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,20.4546875,0
0,1,0,1,2,2,1,1,1,1,1,1,0,0,2,22.947058823529414,0
1,0,0,1,2,1,0,0,0,0,0,0,0,1,3,76.38000000000001,1
1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,71.94285714285715,1
0,1,1,1,2,1,0,2,2,0,2,2,0,1,0,103.95,0
0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,20.524590163934427,0
0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,29.95,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,45.3,0
0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,82.83125,1
0,1,1,1,0,0,2,0,2,0,2,2,1,0,1,74.34242424242424,0
0,0,0,1,0,1,0,2,2,0,0,0,0,1,2,85.51153846153846,1
0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,24.8,1
0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,51.1925,0
0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,27.383333333333336,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,2,18.83076923076923,0
0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,59.4775,0
0,1,1,1,2,0,2,0,0,2,0,2,1,1,1,73.79883720930232,0
0,1,0,1,0,1,0,2,2,0,0,2,0,1,2,88.5,1
0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,19.933333333333334,0
0,1,1,1,2,1,2,2,2,0,2,2,2,0,1,112.90694444444445,0
0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,20.215254237288136,0
0,1,0,1,0,1,2,2,0,2,2,0,0,1,2,95.08250000000001,0
0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,24.474999999999998,0
0,0,0,1,2,1,0,2,2,2,2,2,0,1,2,110.5042372881356,0
0,1,1,1,2,1,0,2,2,2,2,2,2,1,0,111.68958333333333,0
0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,0
0,1,0,1,0,1,2,0,0,2,2,2,1,1,1,99.30185185185185,0
0,0,0,1,0,1,0,2,0,2,0,0,0,1,1,79.45,0
0,1,1,1,2,1,2,0,2,0,2,2,2,0,2,104.30281690140845,0
0,0,1,1,0,1,0,0,0,0,2,0,0,1,1,79.53461538461539,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,67.24886363636364,0
0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,81.35909090909091,0
0,1,1,0,1,0,2,2,2,2,0,2,2,1,1,58.044444444444444,0
0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,79.9,1
0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,101.81315789473685,1
0,1,0,1,0,1,0,2,2,2,2,2,1,1,1,103.9703125,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,42.25,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25.25,0
0,0,1,1,0,2,1,1,1,1,1,1,2,0,3,18.42950819672131,0
0,1,1,1,0,2,1,1,1,1,1,1,1,0,2,18.622413793103448,0
1,1,0,1,2,1,0,0,0,0,0,2,0,0,2,85.90652173913043,0
0,1,0,0,1,0,2,2,2,0,2,2,0,1,0,60.30614035087719,0
0,1,1,0,1,0,2,2,2,2,0,0,2,0,1,43.608333333333334,0
0,1,0,0,1,0,2,2,2,2,2,0,2,1,0,57.41212121212121,0
0,1,1,1,2,0,0,2,2,2,2,2,2,1,0,81.91538461538461,0
0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,78.075,0
0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,67.0875,1
0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,25.871830985915494,0
0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,0
0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,44.8375,1
0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,18.279166666666665,0
0,0,0,0,1,0,2,0,0,0,2,2,1,1,3,53.697916666666664,0
0,1,1,1,0,0,2,0,2,2,2,2,1,1,3,82.12096774193549,0
0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,55.2,1
0,0,0,1,2,1,0,0,0,2,0,2,0,1,1,90.77166666666668,0
0,1,1,1,2,0,2,2,0,2,2,2,2,1,1,87.38829787234043,0
0,0,0,1,2,1,2,2,0,2,2,2,2,1,1,106.6787037037037,0
0,0,0,1,0,1,2,2,0,2,0,2,0,1,1,94.95,0
0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,84.6,1
0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,21.762500000000003,0
0,0,0,1,2,2,1,1,1,1,1,1,0,0,2,24.20689655172414,0
0,0,0,1,2,0,0,2,0,0,0,0,0,1,3,57.05,1
0,0,0,0,1,0,0,0,0,2,0,0,2,1,3,29.905,0
0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,72.55277777777778,0
1,0,0,1,0,1,0,2,0,0,2,2,0,1,2,101.84545454545454,1
0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,17.771875,0
0,0,0,1,2,0,0,2,2,2,2,2,2,0,0,88.20138888888889,0
0,0,0,1,2,1,0,2,2,2,2,2,2,0,0,109.42083333333333,0
0,1,1,1,0,0,2,0,0,2,2,2,1,1,1,77.74756097560976,0
1,1,0,1,0,1,2,2,2,0,0,2,0,0,2,94.24846153846153,0
1,0,0,1,0,0,0,2,2,0,0,0,0,1,2,56.25384615384615,0
1,0,0,1,0,1,2,0,0,0,0,0,0,0,2,68.35,0
0,0,0,1,2,0,0,0,2,0,0,2,1,0,3,61.75121951219513,0
1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,71.61999999999999,1
0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,48.55,1
0,0,0,1,2,1,2,2,2,0,0,2,1,1,2,102.34404761904761,0
0,1,0,1,0,1,2,2,2,0,2,0,1,1,2,90.57941176470588,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,73.575,1
1,1,0,0,1,0,0,2,0,0,2,0,0,0,2,40.2,1
0,0,1,1,2,0,0,2,2,2,2,2,1,0,1,82.290625,0
0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,19.305,0
0,1,1,0,1,0,0,2,2,2,2,2,2,1,2,61.252238805970144,0
0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,114.88770491803278,0
0,0,0,1,2,1,2,2,2,2,2,2,1,0,1,115.822,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,40.275,1
1,1,0,0,1,0,2,0,2,0,0,2,0,1,2,42.36724137931035,0
1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,44.06666666666666,1
1,0,0,1,2,1,0,2,2,0,2,2,0,1,2,104.94615384615385,1
1,1,0,1,2,1,0,2,0,0,0,2,0,1,2,86.40964912280702,0
0,0,0,0,1,0,2,2,0,2,0,2,2,1,0,49.03548387096774,0
0,1,0,1,2,1,2,2,2,2,2,2,1,0,3,111.82777777777778,0
0,1,1,1,2,0,2,2,2,2,2,2,2,0,3,90.60245901639344,0
0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,23.905,0
1,0,0,1,0,1,2,2,0,2,2,2,0,1,3,105.64473684210526,0
0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,18.63728813559322,1
0,1,0,1,2,2,1,1,1,1,1,1,2,1,1,24.40774647887324,0
1,0,0,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1
0,1,0,1,0,0,2,2,0,2,0,0,2,1,2,60.52894736842106,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.8,1
1,1,0,1,2,1,0,2,0,2,2,2,0,0,2,108.6025,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,70.6,1
0,1,0,1,2,1,0,2,0,2,0,0,0,1,2,80.22,1
0,1,0,1,2,1,0,2,2,0,2,2,0,1,2,108.17019230769232,1
1,1,0,1,0,0,2,2,0,0,0,2,0,1,0,63.8,0
0,0,0,0,1,0,0,0,2,2,2,2,0,1,2,55.13928571428572,0
0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,48.95,0
0,0,0,1,0,0,2,2,0,0,0,0,0,0,3,53.81666666666666,0
0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,49.825,0
0,0,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,0
0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,54.231617647058826,0
0,1,1,1,0,1,0,0,2,0,2,2,0,0,3,98.88611111111112,1
0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,81.07272727272726,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,46.3575,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,70.0,1
1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,75.81875,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,43.54,1
1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,71.3625,1
0,0,0,1,0,0,2,2,2,0,0,0,1,0,3,57.74857142857143,0
0,1,1,1,0,1,0,2,2,2,0,0,1,0,3,84.38260869565217,0
1,0,0,1,0,1,0,0,0,0,2,2,0,1,2,94.63333333333333,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,18.3625,0
0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.25,0
0,1,1,1,0,1,0,0,2,0,0,0,2,0,2,76.56971830985916,0
1,1,0,1,2,1,0,0,2,0,2,2,0,1,2,98.21428571428571,0
0,1,1,1,2,0,0,0,2,0,2,2,0,1,2,75.39375,0
0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,1
0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,65.64347826086956,0
1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,99.025,1
0,0,0,1,0,1,0,0,2,2,0,2,0,1,2,89.1625,0
0,1,1,0,1,0,0,2,2,2,2,2,2,0,1,60.4264705882353,0
0,0,1,1,2,1,0,2,0,0,0,0,0,1,3,82.67631578947368,0
0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,23.63653846153846,0
1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,71.9796875,1
0,1,1,1,0,0,0,0,2,2,2,2,2,0,3,70.84137931034483,0
1,1,1,1,2,1,0,2,0,0,2,2,0,0,2,98.46973684210526,0
0,0,1,1,2,0,2,0,2,0,2,2,1,1,1,76.71770833333333,0
0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,19.25,0
0,0,0,1,0,1,2,0,0,2,0,2,0,1,2,85.73863636363636,0
0,0,0,1,2,1,2,2,2,2,2,2,2,0,1,113.83953488372094,0
1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,68.32000000000001,0
0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,83.11,1
0,1,1,1,2,1,2,2,0,2,2,2,1,0,1,111.49803921568626,0
0,0,0,1,0,2,1,1,1,1,1,1,2,1,1,19.085915492957746,0
0,1,1,1,0,0,2,2,0,2,2,2,1,0,1,80.49078947368422,1
1,1,0,1,0,1,0,0,2,0,2,2,0,1,2,92.96041666666667,1
0,1,0,1,2,1,0,0,0,2,2,0,0,1,1,92.46714285714286,0
1,0,0,1,2,0,2,2,0,2,2,2,1,0,0,80.55740740740741,1
0,1,1,0,1,0,0,2,2,2,2,2,2,1,2,59.22222222222222,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,44.8,0
0,1,1,1,0,0,2,0,0,0,0,0,1,0,3,46.922222222222224,0
0,0,0,0,1,0,2,2,0,2,2,2,2,1,0,60.53188405797101,0
0,1,0,1,2,1,0,2,0,2,2,2,0,1,1,98.8096153846154,0
1,1,0,1,0,1,0,0,0,2,2,0,0,1,2,80.00454545454545,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,69.525,1
1,1,1,0,1,0,0,0,0,0,2,0,0,1,2,34.77321428571428,0
1,0,0,1,2,1,0,0,2,0,0,0,0,1,1,86.4735294117647,0
0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,21.124285714285715,0
0,0,0,1,0,2,1,1,1,1,1,1,1,1,3,20.24375,0
0,0,0,1,2,1,0,2,2,0,2,0,1,1,1,96.15108695652174,0
0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,73.03571428571429,1
0,0,0,1,2,1,0,0,2,0,0,0,0,0,3,77.9,1
0,1,1,1,2,0,0,2,2,2,0,2,1,1,0,77.85220588235293,1
0,0,0,1,2,1,0,2,2,0,2,2,2,1,2,110.69418604651163,1
0,0,0,1,2,0,2,2,2,2,2,2,2,1,2,90.41838235294118,0
0,0,0,1,0,1,0,2,0,0,2,2,0,1,1,99.04583333333333,0
0,1,0,1,2,1,0,2,2,0,2,2,0,1,2,104.80952380952381,1
1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,57.190625,0
0,1,0,1,2,0,2,2,2,2,2,2,2,0,1,87.65915492957747,0
0,1,1,1,2,0,2,2,2,0,0,0,0,1,0,68.31287878787879,0
0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,21.081746031746032,0
0,0,1,1,0,2,1,1,1,1,1,1,1,1,1,21.097560975609756,0
1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,72.1,0
0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,84.1,1
0,1,0,1,0,2,1,1,1,1,1,1,2,0,0,18.62142857142857,0
0,0,0,0,1,0,0,0,0,0,2,2,0,1,2,43.34130434782609,0
1,1,0,1,0,1,2,2,2,0,0,2,1,0,0,100.4828125,0
0,1,1,1,2,0,2,0,2,2,0,0,2,1,1,61.58783783783784,0
0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,40.08235294117647,0
1,0,0,1,0,1,0,0,0,0,2,2,0,1,2,82.05,0
0,1,1,1,2,1,0,2,2,0,0,0,0,1,0,92.975,1
1,0,0,0,1,0,2,0,0,0,2,0,0,1,2,40.00476190476191,1
